"","sex","yob","g2000","g2002","g2004","p2000","p2002","p2004","treatment","cluster","voted","hh_id","hh_size","numberofnames","p2004_mean","g2004_mean","age","bintreat"
"34071","female",1938,"yes","yes","yes","no","yes","No"," Control",990,"No",17803,2,21,0.1904762,0.9047619,68,0
"242184","male",1944,"yes","yes","yes","no","no","Yes"," Neighbors",7054,"No",126961,2,21,0.5714286,0.952381,62,1
"41572","female",1964,"yes","yes","yes","no","yes","Yes"," Control",1205,"No",21679,3,21,0.2857143,0.952381,42,0
"320777","female",1972,"yes","no","yes","no","yes","Yes"," Control",9284,"Yes",167104,2,21,0.3809524,0.952381,34,0
"133082","male",1965,"yes","yes","yes","yes","no","No"," Control",3840,"No",69116,2,21,0.047619,0.7142857,41,0
"22743","female",1960,"yes","yes","yes","no","yes","No"," Control",669,"No",12041,2,21,0.1904762,0.952381,46,0
"315313","female",1972,"yes","yes","yes","no","no","Yes"," Control",9130,"Yes",164325,2,21,0.2380952,0.952381,34,0
"324105","female",1915,"yes","yes","yes","yes","yes","No"," Neighbors",9386,"No",168943,1,21,0.1428571,0.8571429,91,1
"189487","female",1984,"no","no","yes","no","no","No"," Control",5500,"No",98997,2,21,0.3333333,0.952381,22,0
"271164","female",1960,"no","no","yes","no","no","No"," Control",7882,"No",141873,2,21,0.3809524,1,46,0
"79466","male",1948,"yes","yes","yes","no","no","No"," Control",2288,"No",41174,2,21,0.0952381,0.8571429,58,0
"325985","male",1947,"no","no","yes","no","no","Yes"," Control",9445,"No",170006,2,21,0.3333333,0.9047619,59,0
"296141","male",1951,"yes","yes","yes","no","yes","Yes"," Control",8582,"No",154462,1,21,0.1904762,0.9047619,55,0
"246363","male",1961,"yes","yes","yes","no","no","Yes"," Control",7171,"No",129078,2,21,0.5714286,0.952381,45,0
"342679","female",1985,"no","no","yes","no","no","No"," Control",9956,"No",179201,3,20,0.65,0.95,21,0
"46155","male",1985,"no","no","yes","no","no","No"," Control",1335,"No",24026,3,21,0.0952381,0.8571429,21,0
"228857","male",1929,"yes","yes","yes","no","no","Yes"," Control",6666,"Yes",119972,2,21,0.3333333,1,77,0
"157330","female",1968,"yes","yes","yes","yes","yes","No"," Control",4557,"No",82025,2,21,0.047619,0.952381,38,0
"246271","female",1945,"yes","yes","yes","yes","no","Yes"," Control",7169,"Yes",129028,2,21,0.6190476,1,61,0
"114613","male",1956,"yes","no","yes","no","no","No"," Control",3301,"No",59405,3,21,0.4761905,1,50,0
"191667","female",1953,"yes","no","yes","no","yes","No"," Control",5566,"No",100176,2,21,0,0.9047619,53,0
"335287","male",1953,"yes","yes","yes","yes","yes","No"," Control",9728,"No",175087,2,21,0.0952381,0.9047619,53,0
"104505","female",1946,"yes","yes","yes","yes","yes","No"," Control",3007,"Yes",54109,2,21,0.1904762,0.9047619,60,0
"303818","male",1970,"yes","yes","yes","no","no","Yes"," Control",8799,"No",158381,2,21,0.3809524,0.7619048,36,0
"68898","female",1974,"no","yes","yes","no","yes","Yes"," Control",1987,"Yes",35756,2,21,0.6190476,0.952381,32,0
"286791","female",1955,"yes","yes","yes","yes","no","No"," Control",8311,"No",149584,4,21,0.3333333,0.952381,51,0
"183670","male",1937,"yes","yes","yes","no","yes","No"," Control",5329,"No",95913,2,21,0.047619,0.6666667,69,0
"48659","female",1962,"yes","yes","yes","no","no","No"," Control",1406,"No",25291,3,21,0,0.952381,44,0
"81087","female",1971,"no","yes","yes","no","yes","No"," Neighbors",2333,"Yes",41994,2,21,0.4761905,1,35,1
"175249","male",1935,"no","yes","yes","yes","yes","No"," Control",5083,"No",91485,2,21,0.047619,0.952381,71,0
"247016","male",1952,"yes","yes","yes","yes","yes","Yes"," Control",7189,"Yes",129387,2,21,0.4285714,0.9047619,54,0
"190522","male",1962,"yes","yes","yes","yes","yes","No"," Control",5531,"No",99554,2,21,0.1904762,0.8571429,44,0
"241152","male",1965,"yes","yes","yes","no","no","Yes"," Control",7025,"No",126435,2,21,0.5714286,1,41,0
"252266","male",1979,"no","no","yes","no","no","No"," Control",7339,"No",132086,3,21,0.3809524,0.8095238,27,0
"230323","female",1967,"no","yes","yes","no","yes","No"," Neighbors",6709,"No",120762,2,21,0.2380952,0.952381,39,1
"298884","male",1966,"yes","yes","yes","no","no","Yes"," Control",8657,"No",155824,2,21,0.3333333,1,40,0
"318833","female",1985,"no","no","yes","no","no","No"," Control",9229,"No",166121,3,21,0.2380952,0.952381,21,0
"48519","male",1963,"yes","yes","yes","no","yes","No"," Control",1401,"No",25217,2,21,0.2380952,1,43,0
"31759","female",1949,"yes","yes","yes","no","yes","Yes"," Control",923,"No",16613,1,21,0.1904762,0.952381,57,0
"13070","male",1958,"yes","yes","yes","no","yes","No"," Neighbors",383,"No",6878,2,21,0.0952381,0.9047619,48,1
"265937","female",1961,"yes","no","yes","no","no","No"," Control",7736,"No",139237,2,21,0.0952381,1,45,0
"11423","female",1946,"yes","yes","yes","no","no","Yes"," Control",333,"No",5980,1,21,0.5714286,0.9047619,60,0
"236133","male",1948,"yes","yes","yes","yes","no","No"," Control",6882,"No",123872,2,21,0.1904762,0.8571429,58,0
"343679","male",1937,"yes","yes","yes","no","no","No"," Control",9988,"No",179774,2,21,0.2380952,0.9047619,69,0
"67992","female",1963,"yes","yes","yes","no","no","Yes"," Control",1960,"No",35274,2,21,0.3809524,1,43,0
"80324","female",1953,"yes","yes","yes","no","yes","No"," Control",2312,"No",41606,3,21,0.1428571,0.9047619,53,0
"290992","female",1952,"yes","yes","yes","yes","yes","No"," Control",8431,"Yes",151741,1,21,0.1428571,0.9047619,54,0
"54021","male",1962,"yes","yes","yes","yes","yes","Yes"," Control",1560,"Yes",28071,2,21,0.047619,0.8571429,44,0
"157551","male",1953,"yes","yes","yes","no","no","Yes"," Control",4564,"Yes",82140,2,21,0.1904762,0.9047619,53,0
"84360","male",1962,"no","yes","yes","no","yes","No"," Control",2426,"Yes",43664,3,21,0.0952381,0.8095238,44,0
"49452","female",1928,"yes","yes","yes","no","yes","No"," Control",1428,"No",25698,2,21,0.1904762,0.952381,78,0
"63772","female",1962,"yes","yes","yes","no","yes","No"," Control",1838,"No",33072,3,21,0.4761905,1,44,0
"29165","female",1961,"yes","yes","yes","no","no","No"," Control",850,"Yes",15299,2,21,0.2380952,0.952381,45,0
"216732","female",1951,"yes","yes","yes","no","yes","No"," Control",6306,"No",113507,2,21,0,0.8095238,55,0
"224733","female",1958,"yes","yes","yes","yes","no","Yes"," Control",6542,"No",117751,2,21,0.4285714,0.8571429,48,0
"175223","female",1983,"no","no","yes","no","no","Yes"," Control",5082,"No",91469,3,21,0.6190476,0.8571429,23,0
"221972","female",1963,"yes","no","yes","yes","no","Yes"," Control",6461,"Yes",116296,2,21,0.4761905,0.9047619,43,0
"316259","male",1956,"no","yes","yes","no","no","Yes"," Control",9156,"No",164798,2,21,0.2857143,0.952381,50,0
"214599","female",1951,"yes","yes","yes","no","no","No"," Control",6242,"No",112355,2,21,0.3333333,1,55,0
"183709","female",1927,"yes","yes","yes","no","yes","Yes"," Control",5330,"No",95933,2,21,0.1904762,0.952381,79,0
"231018","female",1986,"no","no","yes","no","no","No"," Control",6730,"No",121125,2,21,0.3333333,0.8571429,20,0
"125332","female",1957,"yes","yes","yes","yes","no","No"," Control",3613,"No",65018,2,21,0.047619,1,49,0
"142384","male",1973,"no","no","yes","no","no","Yes"," Neighbors",4113,"No",74024,1,21,0.2857143,0.9047619,33,1
"325805","male",1964,"yes","yes","yes","no","no","Yes"," Control",9440,"Yes",169906,1,21,0.3809524,0.952381,42,0
"93473","female",1944,"no","yes","yes","no","yes","Yes"," Control",2693,"No",48466,1,21,0.4761905,0.8571429,62,0
"172175","male",1945,"no","yes","yes","no","yes","Yes"," Control",4990,"Yes",89810,4,21,0.6190476,1,61,0
"121137","male",1937,"yes","yes","yes","no","yes","No"," Control",3490,"Yes",62810,1,21,0.0952381,1,69,0
"60765","male",1940,"yes","yes","yes","yes","no","No"," Control",1752,"No",31525,2,21,0.1428571,0.952381,66,0
"255734","male",1950,"yes","yes","yes","yes","yes","No"," Control",7440,"Yes",133911,3,21,0.2380952,0.952381,56,0
"282010","male",1956,"no","no","yes","no","no","No"," Neighbors",8184,"No",147305,2,21,0.1428571,1,50,1
"233756","female",1961,"no","yes","yes","no","no","No"," Control",6811,"No",122593,2,21,0.1428571,0.9047619,45,0
"176302","female",1934,"no","yes","yes","yes","no","No"," Neighbors",5113,"Yes",92030,2,21,0.047619,0.9047619,72,1
"283018","female",1959,"yes","no","yes","no","no","No"," Control",8210,"No",147771,2,21,0.1428571,1,47,0
"292508","male",1958,"yes","yes","yes","no","yes","No"," Control",8474,"No",152526,2,21,0.2380952,1,48,0
"244319","male",1952,"yes","yes","yes","no","no","Yes"," Neighbors",7114,"No",128043,2,21,0.4761905,1,54,1
"155644","male",1935,"yes","yes","yes","yes","yes","No"," Neighbors",4508,"Yes",81134,1,21,0.5238096,1,71,1
"188163","female",1971,"yes","yes","yes","no","no","No"," Neighbors",5462,"Yes",98315,2,21,0.3333333,0.9047619,35,1
"178014","female",1948,"yes","yes","yes","no","no","No"," Neighbors",5163,"No",92923,2,21,0.1904762,0.8095238,58,1
"49765","male",1956,"yes","yes","yes","no","yes","Yes"," Control",1437,"No",25857,2,21,0.4285714,0.9047619,50,0
"201554","female",1962,"yes","yes","yes","yes","yes","Yes"," Control",5855,"Yes",105375,2,21,0.2857143,0.952381,44,0
"143347","male",1946,"yes","yes","yes","no","no","No"," Control",4143,"Yes",74569,2,21,0.1904762,0.9047619,60,0
"282110","male",1986,"no","no","yes","no","no","No"," Neighbors",8187,"No",147352,4,21,0.2380952,0.952381,20,1
"226494","male",1961,"yes","yes","yes","no","no","Yes"," Control",6595,"No",118708,1,21,0.2380952,0.9047619,45,0
"197544","male",1953,"yes","yes","yes","no","no","Yes"," Control",5735,"Yes",103222,2,21,0.4761905,0.9047619,53,0
"256375","male",1966,"no","yes","yes","no","no","No"," Neighbors",7459,"No",134256,2,21,0.1428571,0.8571429,40,1
"321112","male",1949,"yes","yes","yes","no","no","No"," Control",9294,"No",167282,2,21,0.1904762,0.8095238,57,0
"44738","male",1960,"yes","no","yes","yes","yes","No"," Control",1296,"Yes",23321,3,21,0,0.8571429,46,0
"142803","female",1960,"yes","yes","yes","no","no","No"," Control",4126,"No",74266,2,21,0.2857143,0.952381,46,0
"11557","male",1945,"no","yes","yes","no","no","No"," Neighbors",337,"Yes",6049,2,21,0.2857143,1,61,1
"42246","male",1971,"no","no","yes","no","no","No"," Control",1224,"No",22021,3,21,0.4761905,0.9047619,35,0
"29563","male",1964,"yes","yes","yes","no","yes","No"," Control",860,"No",15479,1,21,0.3333333,1,42,0
"335439","male",1966,"yes","yes","yes","yes","no","Yes"," Control",9732,"Yes",175175,2,20,0.25,0.8,40,0
"126662","female",1973,"no","no","yes","no","no","No"," Control",3652,"No",65730,2,21,0.3333333,0.8571429,33,0
"32455","female",1949,"yes","yes","yes","yes","no","No"," Control",944,"Yes",16976,1,21,0.4285714,1,57,0
"322908","male",1977,"yes","yes","yes","no","yes","No"," Control",9349,"No",168274,3,21,0.3809524,1,29,0
"60819","male",1941,"yes","yes","yes","no","yes","Yes"," Control",1753,"Yes",31552,2,21,0.5714286,1,65,0
"290657","female",1938,"yes","yes","yes","no","no","No"," Control",8420,"No",151555,2,21,0.0952381,0.8571429,68,0
"313169","female",1958,"yes","yes","yes","no","no","No"," Control",9070,"No",163256,2,21,0.6666667,0.952381,48,0
"267030","male",1958,"yes","yes","yes","no","no","No"," Control",7767,"No",139806,2,21,0.4761905,0.9047619,48,0
"113452","female",1953,"yes","no","yes","yes","no","Yes"," Control",3267,"No",58795,2,21,0.5238096,0.9047619,53,0
"129076","male",1975,"yes","yes","yes","no","yes","Yes"," Control",3722,"Yes",66986,3,21,0.1904762,0.8571429,31,0
"166466","female",1958,"no","yes","yes","no","no","No"," Control",4826,"No",86861,2,21,0.2380952,0.952381,48,0
"323155","female",1950,"yes","yes","yes","no","no","No"," Control",9357,"No",168413,4,21,0.1428571,1,56,0
"325808","male",1956,"no","yes","yes","no","no","Yes"," Control",9440,"No",169908,3,21,0.5714286,0.9047619,50,0
"219386","female",1956,"yes","yes","yes","no","yes","No"," Control",6385,"Yes",114923,2,21,0.4285714,0.9047619,50,0
"145755","female",1951,"no","yes","yes","no","no","No"," Control",4214,"No",75842,2,21,0.3809524,0.9047619,55,0
"101205","male",1938,"yes","yes","yes","no","no","Yes"," Control",2914,"Yes",52436,1,21,0.2857143,0.8571429,68,0
"307202","female",1983,"no","yes","yes","no","no","No"," Control",8898,"No",160157,4,21,0.3333333,0.952381,23,0
"277649","male",1951,"yes","yes","yes","no","yes","Yes"," Control",8066,"Yes",145173,4,21,0.1428571,0.952381,55,0
"135654","female",1939,"yes","no","yes","no","no","Yes"," Control",3915,"No",70462,2,21,0.3333333,0.9047619,67,0
"15477","male",1959,"yes","yes","yes","no","no","No"," Control",454,"No",8169,2,21,0.3333333,0.8095238,47,0
"91001","male",1950,"yes","yes","yes","no","no","No"," Control",2623,"No",47197,3,21,0.1904762,0.8095238,56,0
"197908","female",1983,"no","no","yes","no","no","No"," Control",5746,"No",103420,3,21,0.2380952,1,23,0
"131825","male",1960,"yes","no","yes","no","no","No"," Neighbors",3803,"No",68454,2,21,0.4761905,0.952381,46,1
"292301","female",1954,"yes","yes","yes","yes","yes","No"," Control",8468,"Yes",152418,3,21,0.2857143,0.952381,52,0
"336150","male",1931,"yes","yes","yes","no","yes","No"," Neighbors",9754,"No",175562,2,21,0.1428571,1,75,1
"110075","female",1965,"yes","yes","yes","no","no","No"," Control",3168,"No",57013,2,21,0.1428571,1,41,0
"34942","female",1950,"no","yes","yes","no","yes","No"," Control",1014,"No",18248,2,21,0,0.9047619,56,0
"272828","female",1949,"yes","yes","yes","no","no","No"," Control",7928,"Yes",142695,2,21,0,1,57,0
"31889","female",1957,"yes","yes","yes","yes","yes","No"," Control",928,"No",16687,3,21,0.2857143,0.7142857,49,0
"115721","female",1924,"yes","yes","yes","yes","yes","No"," Control",3333,"No",59989,2,21,0.5714286,0.952381,82,0
"241502","male",1960,"yes","yes","yes","no","no","Yes"," Control",7035,"No",126613,1,21,0.5714286,1,46,0
"306134","female",1959,"yes","yes","yes","no","no","No"," Control",8868,"No",159615,2,21,0.5238096,1,47,0
"196125","female",1966,"yes","yes","yes","yes","no","No"," Control",5694,"No",102483,2,21,0.3809524,0.952381,40,0
"289160","female",1957,"yes","yes","yes","no","yes","Yes"," Control",8377,"No",150784,1,21,0.2857143,0.9047619,49,0
"151809","female",1964,"yes","no","yes","yes","yes","No"," Neighbors",4394,"Yes",79090,2,21,0,0.9047619,42,1
"31468","female",1948,"yes","yes","yes","no","yes","No"," Control",915,"Yes",16457,2,21,0.2380952,0.9047619,58,0
"193291","male",1947,"yes","yes","yes","yes","yes","No"," Control",5611,"No",100989,2,21,0.1904762,0.952381,59,0
"304553","female",1969,"yes","yes","yes","no","no","Yes"," Control",8822,"No",158785,2,21,0.7142857,1,37,0
"47922","female",1961,"yes","yes","yes","yes","no","Yes"," Neighbors",1385,"No",24919,2,21,0.5714286,0.952381,45,1
"275725","female",1956,"yes","yes","yes","no","yes","No"," Control",8012,"Yes",144212,2,21,0.2857143,0.952381,50,0
"287058","male",1954,"yes","yes","yes","no","yes","Yes"," Control",8318,"Yes",149711,1,21,0.1904762,0.7619048,52,0
"146769","male",1930,"yes","yes","yes","yes","no","No"," Control",4244,"No",76386,1,21,0.4761905,0.8571429,76,0
"56982","female",1976,"yes","yes","yes","no","yes","No"," Control",1646,"No",29619,2,21,0,0.8571429,30,0
"98414","female",1942,"yes","yes","yes","yes","no","Yes"," Control",2834,"Yes",51002,2,21,0.4285714,1,64,0
"141087","male",1943,"yes","yes","yes","yes","yes","No"," Control",4073,"No",73308,2,21,0.2380952,0.9047619,63,0
"274866","male",1982,"yes","yes","yes","no","yes","No"," Control",7989,"No",143785,5,21,0.3809524,0.952381,24,0
"293505","female",1918,"yes","yes","yes","yes","yes","No"," Neighbors",8503,"No",153049,2,21,0.1904762,0.8571429,88,1
"110549","female",1927,"yes","yes","yes","no","no","No"," Neighbors",3181,"Yes",57256,1,21,0.047619,0.8571429,79,1
"156231","male",1918,"yes","yes","yes","no","yes","Yes"," Control",4524,"No",81425,1,21,0.5238096,0.952381,88,0
"148161","male",1933,"yes","yes","yes","no","no","Yes"," Control",4285,"No",77115,2,21,0.4285714,0.9047619,73,0
"188220","female",1977,"yes","yes","yes","yes","no","No"," Control",5464,"Yes",98346,2,21,0.0952381,0.9047619,29,0
"137737","female",1942,"yes","yes","yes","no","yes","Yes"," Control",3975,"No",71542,2,21,0.2857143,0.8571429,64,0
"245548","male",1953,"yes","yes","yes","no","no","Yes"," Control",7147,"Yes",128646,2,21,0.4285714,0.7619048,53,0
"311361","male",1954,"yes","yes","yes","no","no","Yes"," Control",9019,"No",162328,1,21,0.5238096,0.8571429,52,0
"48348","female",1957,"yes","yes","yes","no","no","No"," Control",1397,"No",25139,1,21,0.1428571,0.952381,49,0
"208641","male",1971,"no","yes","yes","no","yes","Yes"," Control",6069,"No",109233,2,21,0.3809524,0.952381,35,0
"42959","female",1954,"yes","yes","yes","no","yes","No"," Control",1244,"No",22387,3,21,0.047619,0.952381,52,0
"321797","male",1973,"yes","yes","yes","no","yes","Yes"," Control",9315,"No",167668,1,21,0.4285714,1,33,0
"42697","male",1976,"yes","yes","yes","no","yes","No"," Control",1237,"No",22251,2,21,0.1428571,1,30,0
"24217","female",1951,"yes","yes","yes","no","yes","No"," Control",713,"No",12819,3,21,0.2857143,0.9047619,55,0
"126051","female",1952,"yes","yes","yes","no","no","Yes"," Control",3634,"Yes",65400,2,21,0.2857143,0.8095238,54,0
"47725","male",1950,"yes","yes","yes","no","no","No"," Control",1380,"Yes",24824,2,21,0.5238096,0.952381,56,0
"230548","female",1964,"yes","no","yes","no","no","No"," Neighbors",6716,"No",120885,2,21,0.1428571,0.952381,42,1
"173072","male",1944,"no","no","yes","no","no","Yes"," Neighbors",5016,"Yes",90287,2,21,0.0952381,0.8571429,62,1
"88011","female",1963,"yes","yes","yes","yes","yes","No"," Control",2534,"No",45610,2,21,0,0.8571429,43,0
"232007","male",1957,"no","no","yes","no","no","No"," Control",6759,"No",121649,2,21,0.1904762,0.9047619,49,0
"211503","male",1961,"yes","yes","yes","yes","yes","No"," Control",6152,"Yes",110732,2,21,0.2857143,0.9047619,45,0
"301021","female",1927,"yes","yes","yes","no","yes","No"," Control",8716,"No",156876,1,21,0.5714286,1,79,0
"330085","female",1959,"yes","yes","yes","no","no","Yes"," Control",9572,"Yes",172280,3,21,0.1904762,0.9047619,47,0
"172041","female",1927,"yes","yes","yes","no","no","No"," Control",4986,"No",89741,2,21,0.3809524,1,79,0
"206312","female",1959,"yes","yes","yes","no","no","Yes"," Neighbors",6000,"Yes",107991,2,21,0.5714286,0.9047619,47,1
"11345","female",1952,"yes","yes","yes","yes","no","Yes"," Control",330,"No",5936,2,21,0.3809524,0.9047619,54,0
"285680","female",1951,"yes","yes","yes","no","no","No"," Control",8280,"No",149038,2,21,0,0.952381,55,0
"340264","male",1940,"yes","yes","yes","no","no","Yes"," Control",9882,"No",177862,2,21,0.5714286,0.9047619,66,0
"300732","male",1968,"yes","yes","yes","no","no","Yes"," Neighbors",8707,"Yes",156719,2,21,0.6666667,1,38,1
"8034","female",1969,"yes","yes","yes","no","yes","No"," Control",237,"No",4256,2,21,0.1904762,0.8571429,37,0
"186707","male",1944,"yes","yes","yes","yes","yes","Yes"," Control",5420,"No",97556,2,21,0.1428571,1,62,0
"26648","male",1965,"yes","yes","yes","yes","yes","No"," Control",780,"Yes",14027,2,21,0.2857143,0.952381,41,0
"16065","female",1940,"yes","yes","yes","yes","no","Yes"," Control",471,"No",8476,2,21,0.5238096,0.952381,66,0
"257421","female",1963,"no","yes","yes","no","no","Yes"," Control",7492,"No",134840,2,21,0.2380952,0.8571429,43,0
"39152","male",1955,"yes","yes","yes","no","no","No"," Control",1135,"Yes",20430,2,21,0.1428571,1,51,0
"210533","female",1983,"no","yes","yes","no","yes","No"," Control",6124,"No",110223,4,21,0.3333333,0.9047619,23,0
"197056","female",1927,"yes","yes","yes","no","no","Yes"," Control",5721,"Yes",102967,1,21,0.3809524,1,79,0
"228606","male",1982,"no","yes","yes","no","yes","Yes"," Control",6658,"No",119832,2,21,0.1904762,0.7142857,24,0
"62696","male",1956,"yes","yes","yes","yes","yes","No"," Control",1807,"Yes",32517,2,21,0.0952381,0.952381,50,0
"232287","female",1946,"yes","yes","yes","no","no","Yes"," Control",6767,"Yes",121793,2,21,0.7142857,0.9047619,60,0
"43382","male",1952,"yes","yes","yes","yes","yes","No"," Control",1257,"Yes",22618,3,21,0.4761905,0.952381,54,0
"130126","male",1955,"yes","yes","yes","no","yes","Yes"," Control",3752,"No",67528,3,21,0.4761905,0.8571429,51,0
"254884","male",1945,"yes","yes","yes","yes","no","No"," Control",7416,"No",133471,3,21,0.5714286,1,61,0
"89015","female",1965,"no","no","yes","no","no","Yes"," Control",2565,"No",46160,2,21,0.2857143,0.952381,41,0
"202220","female",1984,"no","no","yes","no","no","No"," Control",5875,"No",105737,4,21,0.4285714,0.952381,22,0
"39277","male",1957,"yes","no","yes","no","no","No"," Control",1139,"No",20490,3,21,0.3333333,0.952381,49,0
"65369","male",1957,"yes","yes","yes","yes","yes","No"," Neighbors",1885,"Yes",33918,3,21,0.1428571,0.952381,49,1
"280523","male",1931,"yes","yes","yes","yes","no","No"," Neighbors",8146,"Yes",146611,2,21,0.0952381,0.9047619,75,1
"283491","female",1955,"yes","yes","yes","no","no","No"," Control",8222,"No",147989,4,21,0.047619,1,51,0
"198452","female",1956,"yes","yes","yes","no","yes","Yes"," Neighbors",5763,"No",103730,3,21,0.7619048,1,50,1
"110338","male",1938,"yes","yes","yes","no","no","No"," Control",3176,"No",57151,2,21,0.3333333,1,68,0
"233983","female",1956,"yes","yes","yes","yes","no","Yes"," Control",6819,"No",122725,4,21,0.4761905,0.8571429,50,0
"193656","male",1932,"yes","no","yes","yes","yes","No"," Neighbors",5621,"No",101174,2,21,0.1904762,0.8571429,74,1
"152791","female",1944,"yes","yes","yes","yes","no","Yes"," Control",4423,"No",79599,2,21,0.3809524,0.952381,62,0
"249364","female",1976,"yes","yes","yes","no","no","Yes"," Control",7257,"No",130610,2,21,0.3809524,0.952381,30,0
"151127","male",1986,"no","no","yes","no","no","No"," Control",4373,"No",78712,4,21,0.4285714,0.9047619,20,0
"169191","female",1952,"yes","no","yes","no","no","No"," Neighbors",4905,"No",88274,3,21,0.2857143,1,54,1
"890","female",1950,"yes","yes","yes","yes","no","No"," Control",28,"Yes",488,2,21,0.1904762,0.8571429,56,0
"99902","female",1950,"yes","yes","yes","yes","yes","No"," Control",2877,"Yes",51772,2,21,0.047619,1,56,0
"143969","male",1951,"yes","yes","yes","no","no","Yes"," Control",4161,"Yes",74897,3,21,0.4761905,1,55,0
"76099","female",1959,"yes","yes","yes","no","yes","No"," Control",2193,"Yes",39474,2,21,0.2857143,0.952381,47,0
"14509","female",1943,"yes","yes","yes","no","no","Yes"," Control",426,"Yes",7662,2,21,0.4285714,0.952381,63,0
"245682","male",1949,"yes","yes","yes","yes","no","Yes"," Neighbors",7151,"No",128711,3,21,0.4761905,0.952381,57,1
"128857","male",1981,"yes","yes","yes","no","no","Yes"," Control",3716,"No",66871,4,21,0.2857143,0.952381,25,0
"290891","female",1961,"yes","yes","yes","yes","yes","Yes"," Control",8427,"Yes",151683,2,20,0.2,0.75,45,0
"173176","female",1954,"yes","yes","yes","no","no","No"," Control",5019,"No",90342,2,21,0.1904762,0.9047619,52,0
"196287","female",1963,"yes","no","yes","no","no","No"," Control",5698,"No",102560,2,21,0.5238096,0.952381,43,0
"271593","female",1985,"no","no","yes","no","no","No"," Control",7894,"No",142091,3,21,0.1428571,0.8571429,21,0
"331360","female",1955,"no","yes","yes","no","no","Yes"," Control",9610,"Yes",172979,2,21,0.1428571,0.8095238,51,0
"43985","male",1969,"yes","yes","yes","no","no","No"," Neighbors",1275,"Yes",22934,2,21,0.2380952,0.9047619,37,1
"28652","male",1956,"yes","no","yes","no","no","No"," Neighbors",836,"No",15047,2,21,0.1428571,0.8095238,50,1
"304730","female",1985,"no","no","yes","no","no","Yes"," Control",8827,"No",158885,4,21,0.7619048,1,21,0
"99616","female",1937,"yes","yes","yes","no","yes","No"," Control",2869,"No",51626,4,21,0.3809524,0.952381,69,0
"147306","male",1981,"no","yes","yes","no","yes","No"," Control",4260,"Yes",76669,3,21,0.4285714,1,25,0
"36990","male",1943,"yes","yes","yes","no","yes","No"," Control",1072,"Yes",19291,2,21,0.4285714,1,63,0
"175338","female",1962,"yes","yes","yes","yes","yes","No"," Control",5085,"No",91529,2,21,0.047619,0.8571429,44,0
"154591","male",1982,"yes","no","yes","no","no","No"," Control",4476,"Yes",80554,3,21,0.2857143,0.9047619,24,0
"70750","male",1984,"no","yes","yes","no","yes","Yes"," Control",2039,"No",36702,3,21,0.5714286,0.952381,22,0
"42456","male",1983,"no","yes","yes","no","no","No"," Control",1229,"No",22122,4,21,0.2857143,0.952381,23,0
"83481","male",1954,"yes","yes","yes","no","no","Yes"," Control",2401,"No",43208,3,21,0.2857143,0.952381,52,0
"5844","male",1941,"yes","yes","yes","no","yes","No"," Control",174,"No",3119,2,21,0.3333333,0.8095238,65,0
"187533","male",1958,"yes","yes","yes","no","no","Yes"," Control",5444,"No",97985,2,21,0.3333333,0.9047619,48,0
"194197","female",1979,"no","yes","yes","no","no","No"," Control",5637,"No",101455,3,21,0.1904762,0.952381,27,0
"263834","female",1966,"yes","yes","yes","no","no","No"," Control",7676,"No",138154,2,21,0.1904762,0.952381,40,0
"167604","male",1972,"no","yes","yes","no","yes","Yes"," Control",4860,"Yes",87463,2,21,0.0952381,0.8095238,34,0
"236687","female",1940,"yes","yes","yes","no","yes","Yes"," Neighbors",6899,"Yes",124176,2,21,0.5714286,0.9047619,66,1
"4086","female",1956,"yes","yes","yes","no","yes","Yes"," Control",123,"Yes",2200,3,21,0.3333333,0.9047619,50,0
"208862","male",1969,"yes","no","yes","no","yes","No"," Control",6075,"No",109345,2,21,0.047619,0.7619048,37,0
"337008","female",1961,"yes","no","yes","no","no","Yes"," Control",9781,"No",176057,2,21,0.8095238,1,45,0
"13294","female",1927,"yes","yes","yes","yes","no","No"," Control",389,"Yes",7000,1,21,0.3809524,0.952381,79,0
"202265","male",1943,"yes","yes","yes","no","no","No"," Control",5876,"No",105762,2,21,0.4761905,0.952381,63,0
"145385","male",1964,"yes","no","yes","no","no","No"," Control",4203,"No",75649,2,21,0.2857143,1,42,0
"125180","female",1948,"yes","yes","yes","yes","yes","No"," Control",3608,"Yes",64940,3,21,0.1904762,0.7619048,58,0
"97375","male",1940,"yes","yes","yes","yes","yes","Yes"," Control",2804,"Yes",50469,2,21,0.2857143,0.8571429,66,0
"250039","female",1964,"yes","yes","yes","yes","yes","No"," Control",7276,"No",130953,2,21,0.2857143,0.9047619,42,0
"262805","male",1971,"yes","yes","yes","no","yes","No"," Control",7646,"No",137619,2,21,0.1428571,1,35,0
"264196","male",1962,"no","yes","yes","no","no","No"," Control",7686,"No",138334,2,21,0,1,44,0
"247693","male",1984,"no","yes","yes","no","no","Yes"," Control",7208,"No",129733,3,21,0.2857143,0.8095238,22,0
"72994","male",1963,"yes","yes","yes","no","no","No"," Control",2103,"Yes",37853,2,21,0.1904762,0.8571429,43,0
"167159","male",1974,"no","yes","yes","yes","yes","Yes"," Neighbors",4847,"No",87235,2,21,0.5238096,0.9047619,32,1
